Назва,Зібрана площа
,га
Одеська область,286578
м.Балта,1127
м.Білгород-Дністровський,2372
м.Біляївка,727
м.Ізмаїл,к
М.Подільськ,к
Ананьївський,11439
Арцизький,13387
Балтський,14479
Білгород-Дністровський,10788
Біляївський,8813
Березівський,19920
Болградський,10908
Великомихайлівський,13490
Іванівський,14051
Ізмаїльський,8903
Кілійський,5292
Кодимський,5915
Лиманський,12988
Подільський,9490
Окнянський,7076
Любашівський,9927
Миколаївський,8906
Овідіопольський,6214
Роздільнянський,14679
Ренійський,6662
Савранський,7229
Саратський,12825
Тарутинський,19682
Татарбунарський,6213
Захарівський,7232
Ширяївський,15302
